25,25
59,59
0,0
92,92
33,33
66,66
7,7
99,99
40,40
73,73
14,14
47,47
80,80
21,21
54,54
13,13
87,87
46,46
28,28
61,61
20,20
2,2
94,94
35,35
68,68
9,9
42,42
75,75
34,34
16,16
67,67
49,49
8,8
82,82
41,41
23,23
74,74
56,56
15,15
89,89
48,48
30,30
81,81
22,22
55,55
63,63
88,88
70,70
29,29
62,62
44,44
3,3
95,95
36,36
96,96
18,18
69,69
10,10
43,43
76,76
77,77
51,51
17,17
50,50
83,83
24,24
84,84
57,57
58,58
90,90
31,31
91,91
32,32
64,64
5,5
65,65
97,97
6,6
98,98
39,39
72,72
4,4
38,38
11,11
71,71
12,12
45,45
78,78
19,19
79,79
52,52
85,85
53,53
26,26
86,86
27,27
60,60
1,1
93,93
